from,times,to
Бартемиус Крауч-мл.,1.0,Дельфини
Джеймс Поттер,1.0,Лили Эванс; Сириус Блэк; Римус Люпин; Северус Снейп.
Рабастан Лестрейндж,1.0,Рудольфус Лестрейндж
Гарри Поттер,1.0,Хотч
Драко Малфой,1.0,преслэш! Гарри
 Андромеда Тонкс,1.0,Ремус Люпин
adult!Виктор Крам,1.0,adult!Гермиона Грейнджер
\Снейп,1.0,Гарри Поттер
Гермиона Грейнджер,2.0,Деймон Сальваторе
Беллатриса Лестрейндж,10.0,Люциус Малфой
Астoрия Гринграсс,2.0,Драко Малфой
Аделина Вайтер,1.0,Дмитрий Беликов
Гарри Поттер,4.0,Геллерт Гриндевальд
ГГ,3.0,ЛМ
Гарем,1.0,Наруто
Кассиопея Блэк,1.0,Рабастан Лестрейндж
Люциус Малфой,1.0,Новый персонаж
Родольфус Лестрейндж,1.0,Том Риддл
\Оливер Вуд,3.0,Маркус Флинт
Алиса,1.0,Интар
Хантер Золомон,1.0,Эобард Тоун
Луна.,1.0,Фред
Гермиона Грейнджер,5.0,Флёр
Нико ди Анжело,1.0,Регулус Блэк
Дин Томас,1.0,Лаванда Браун
Миссис Грейнджер,1.0,Новый муж.
fem!Невилл Лонгботтом,1.0,Гарри Поттер
ДП,5.0,ЛЭ
ОЖП,1.0,Тесей Скамандер
Мо Гуаньшань,2.0,Хэ Тянь
Цзянь И,2.0,Чжань Чжэнси
dark!Драко Малфой,1.0,light!Гарри Поттер
Ванда Максимофф,3.0,Гарри Поттер
?,1.0,Барти Крауч
 Скорпиус Малфой,1.0,Джеймс Поттер-мл. 
Долорес Амбридж,2.0,Минерва Макгонагалл
Теренс Хиггс,1.0,Чарли Уизли
fem!Тсунаёши Савада,1.0,Гарри Поттер
 Виктор,1.0,гермиона 
Чжоу Чанг,1.0,Эрни Макмиллан
ОМП,5.0,Полумна Лавгуд
Кэти Белл,2.0,Ли Джордан
"""Струпьяр",1.0,"Гермиона"""
ГП,1.0,СалС
Кристофер Шистад,3.0,Эва Квиг Мун
Иван Абрамов,1.0,Юлия Ахмедова
fem!Северус Снейп,3.0,Сириус Блэк III
Руслан Белый,1.0,Юлия Ахмедова
Лили Поттер,1.0,Эдвард Римус Люпин
Китнисс Эвердин,1.0,Цинна
Гермиона Грейнджер,14.0,Шерлок Холмс
fem!Джеймс Мориарти,1.0,Шерлок Холмс
Енох О'Коннор,1.0,Оливия Аброхолос Элефанта
Енох О'Коннор,1.0,Эмма Блум
Альма Койн,1.0,Плутарх Хэвенсби
Кристофер Шистад,1.0,Нура Амалие Сатре
Джеймс Поттер,7.0,Нарцисса Малфой
Ганнибал Лектер,1.0,Клэрис Старлинг
Гарри Поттер,1.0,Джинни Поттер.
Алевтина,1.0,Гарри Поттер
Драко Малфой,1.0,Лика Снейп
НЖП,1.0,Тедди Люпин
Алекто Кэрроу,1.0,Антонин Долохов
Джинпачи Тодо,1.0,Юске Макишима
Ким Усок,1.0,Чо Сынён
Ким Ёхан,1.0,Ким Усок
Сон Донпё,1.0,Хан Сыну
 Константин Кирг,1.0,Король Игр
Вильям Магнуссон,2.0,Нура Амалие Сатре
Беллатриса Лестрейндж,1.0,Новый Женский Персонаж
Джеймс Сириус Поттер,5.0,Драко Малфой
Гермиона Грейнджер,3.0,Салазар Слизерин
ДУ,1.0,НЛ
Минерва Макгонагалл,1.0,Том Реддл
Гарри Поттер,1.0,Северу Снейп
Люциус Малфой,1.0,Нимфадора Тонкс
Волан-де-Морт,1.0,небольшой намек на Гермиона
ДжинниУизли,1.0,Луна Лавгуд
fem!Гарри Поттер,1.0,Бартемиус Крауч-ст.
Исин,1.0,Чунмëн
Драко Малфой,1.0,Кингсли
Джинни Уизли,1.0,Эдмунд Пэвенси
Young!Минерва Макгонагалл,1.0,Северус Снейп
Плакса Миртл,1.0,Том Риддл
Гермиона Грейнджер,2.0,Энтони Голдштейн
Дин Томас,1.0,Энтони Голдштейн
Блейз Забини,1.0,Лика Хомия
Джеймс Поттер,2.0,Молли Уизли
Гарри Поттер,1.0,Даяна
Блейз Забини,1.0,Чарли Уизли
Невилл Лонгботтом,3.0,ОМП
Милисента Булстроуд,1.0,Невилл Лонгботтом
АК,1.0,ГП
Гермиона Грейнджер,1.0,Питер
Алекс!Драко Малфой,1.0,ОМП
АД,1.0,ГП
П.!альфа!Сириус Блэк III,1.0,омега!Северус Снейп
альфа!Гарри Поттер,1.0,омега!Луна Лавгуд
О!Омега!Хоуп Поттер,1.0,альфа!Регулус Блэк
Бьянка,2.0,Тео
ЛМ,2.0,СБ
fem!Мидорима,1.0,Аомине
Дерек,2.0,Стайлз
Куини Голдштейн,1.0,Северус Снейп
Персиваль Грейвс,2.0,Порпентина Голдштейн
Гарри Поттер ,4.0,Гермиона Грейнджер
ОМП,1.0,Петунья Дурсль
Дадли Дурсль,1.0,Панси Паркинсон
Минерва МакГонагалл,1.0,ОМП
Амелия Сильвершторм,1.0,Сириус Блэк
Нарцисса Малфой,1.0,Сэм Флетчли
Гарри Поттер,2.0,Панси
Гермиона Грейджер,1.0,Люциус Малфой
!Абраксас Малфой,1.0,Нарцисса Малфой
Гермиона Грейнждер,1.0,Драко Малфой
Джеймс Сириус Поттер,21.0,Скорпиус Гиперион Малфой
Фред Уизли,1.0,Хэл Фэриартос
Кингсли Шеклболт,3.0,Люциус Малфой
???,2.0,ОЖП
human!Нагини,1.0,Том Марволо Реддл
Питер Петтигрю,1.0,Питер Петтигрю
ГП,2.0,ФД
Брюс Уэйн,1.0,Джокер
Гэри Анвин,1.0,Чарли Хескет
Альбус Дамблдор,1.0,Луна Лавгуд
Гарри.,1.0,Луна
Армандо Диппет,1.0,Минерва Макгонагалл
Беллатриса Лестрейндж,8.0,Нарцисса Малфой
Беллатриса Лестрейндж,7.0,Джеймс Поттер
Рабастан Лестрейндж,1.0,Родольфус Лестрейндж
CC,2.0,ГГ
Pудольфус,1.0,Беллатрикс
Хартли,2.0,Циско
Сьюзен Пэвенси,1.0,Том Марволо Реддл
fem!Северус Снейп,1.0,Аргус Филч
 Джеймс,1.0,Лили
Антонин Долохов,2.0,Эйлин Принц
Полумна Лавгуд,1.0,Сириус Блэк III
,1.0,Гермиона Грейнджер
Белинда Батлер,1.0,Том Реддл
ИП,1.0,СС
Блейз,6.0,Гермиона Грейнджер
Джон Рико,1.0,Диззи Флорес
Селина Блэйк,1.0,Сириус Блэк
Джеймс Поттер,1.0,ОМП
fem!Гарри Поттер,1.0,Барри Аллен
Джеймс Поттер,1.0,Лили Эванс ; остальные по ходу фанфика
АД,2.0,ГГ
Белатрикс Лестрейндж,1.0,Гарри Поттер
Ванесса Мэник,1.0,Северус Снейп
Джордж Уизли,2.0,Чжоу Чанг
душа,1.0,поезд
Гидеон Пруэтт,2.0,Мэри Макдональд
dark!Гермиона Грейнджер,1.0,Беллатриса Лестрейндж
Дженна,1.0,кое-кто
Лайт Ягами,1.0,Эл Лоулайт
 Джордж Уизли,1.0,Ли Джордан
Гермиона Грейнджер,1.0,Панси Парки
Виктор Крам,1.0,Седрик Диггори
Джеймс Поттер,1.0,Лили Эванс\Регулус Блэк
генерал Айра,1.0,принц Зуко
Джеймс Плеядус Хокинс,1.0,Джон Сильвер
Дэнни Баттерман,1.0,Николас Энджел
Нэйтан Уоллес,1.0,Ротти Ларго
Арисава Тацуки,1.0,Иноуэ Орихиме
Брутс,1.0,Мисс Паркер
 Мужчина,1.0,Женщина
Люпин,3.0,Снейп
Джинни Уизли,3.0,Сириус Блэк
Джеймс Поттер,7.0,Ремус Люпин
 Джинни,2.0,Гарри Поттер
Ремус Люпин,1.0,Руби Лукас
Гарри Поттер,1.0,Гидеон Крумб
Гарри Поттер,1.0,Оливия Лестрейндж
 Ремус Люпин,3.0,Сириус Блэк 
Крюкохват,2.0,Флитвик
Живоглот,1.0,миссис Норрис
Хината Шоё,1.0,Цукишима Кей
Гарри Поттер,1.0,Курока Тоджо
???,1.0,Эмилина
Гермиона Грейнджер,1.0,Упоминание!Рон Уизли
Джинни Уизли,2.0,Упоминание!Гарри Поттер
Ким Дженни,3.0,Мин Юнги
Ким Джису,2.0,Ким Сокджин
Пак Чеён,3.0,Пак Чимин
Билл Сайфер,4.0,Мэйбл Пайнс
Диппер Пайнс,4.0,Пасифика Элиза Нортвест
 Лорд Волдеморт,2.0,Беллатриса Лестрейндж 
ГермионаГрейнджер,1.0,Люциус Малфой
 ДМ,9.0,ГП
Лилиан Блишвик,1.0,Невилл Лонгботтом
Коннор Шафик ,1.0,Нимфадора Тонкс
Гермиона Грейнджер и др,1.0,Фред Уизли
Рабастан Лестрейндж,1.0,Фэй Данбар
Лилиана Поттер,1.0,Северус Снейп
de-aged!Альбус Дамблдор,1.0,de-aged!Геллерт Гриндельвальд
kid!Том Марволо Реддл,2.0,Гарри Поттер
Гарри Поттер,1.0,фем! Драко Малфой
Гарри Поттер,2.0,Том Рэддл
Гермиона Грейнджер,1.0,Драко и другие
Азиль,1.0,Гарри Поттер
Полумна Лавгуд,1.0,Регулус Блэк
Лимм Микото,1.0,Райто Сакамаки
Ванда Максимофф,1.0,Вирджиния Поттс
Мариэтта Эджком,1.0,ОМП
ОЖП,1.0,Чарли Узли
 Ожп,1.0,Фред 
Джейк,1.0,Эмма
Джинни,1.0,Дин
Анастасия Розье,1.0,Оливер Вуд
Ремус Люпин,1.0,Теодора Моррисон
Луна Лавгуд,5.0,Люциус Малфой
Рон Уизли,1.0,еда
